曲名,譜面,ジャンル,NEW,NEW+,,曲名,譜面,ジャンル,NEW,NEW+,,曲名,譜面,ジャンル,NEW,NEW+,,曲名,譜面,ジャンル,NEW,NEW+,,曲名,譜面,ジャンル,NEW,NEW+
Sqlupp,MAS,ORIGINAL,14.4,14.4,,アルストロメリア,ULT,VARIETY,14.3,14.3,,,,,,,,,,,,,,アイリちゃんは暗黒魔導士!,MAS,ORIGINAL,14.0,14.0
Nijirate Fanatics,MAS,ORIGINAL,14.4,14.4,,Theme of SeelischTact,ULT,ORIGINAL,14.3,14.3,,,,,,,,,,,,,,ユメキキョウ,MAS,ORIGINAL,14.0,14.0
せかいせいふく！ゆりあちゃん！,MAS,ORIGINAL,14.4,14.4,,Killing Rhythm,EXP,ORIGINAL,14.3,14.3,,,,,,,,,,,,,,ハジマリノピアノ,MAS,ORIGINAL,14.0,14.0
シャッキーーン！！,MAS,ORIGINAL,14.4,14.4,,POTENTIAL,EXP,ORIGINAL,14.3,14.3,,,,,,,,,,,,,,宙の隣,MAS,ORIGINAL,14.0,14.0
Therapeutic Hoedown,MAS,ORIGINAL,14.4,14.4,,Satellite System ft. Diana Chiaki,MAS,VARIETY,14.2,14.3,,,,,,,,,,,,,,C & B,MAS,ORIGINAL,14.0,14.0
Insane Gamemode,MAS,ORIGINAL,14.4,14.4,,花たちに希望を,MAS,VARIETY,14.2,14.3,,,,,,,,,,,,,,Crack,MAS,ORIGINAL,14.0,14.0
《投影》 ～ Oh My Baby Doll,MAS,ORIGINAL,14.4,14.4,,I'll make you Super Rock Star,MAS,ORIGINAL,,14.3,,,,,,,,,,,,,,"ピアノ協奏曲第1番""蠍火""",EXP,VARIETY,14.0,14.0
月詠に鳴る,MAS,ORIGINAL,14.4,14.4,,幾四音 -Ixion-,ULT,ORIGINAL,,14.3,,,,,,,,,,,,,,]-[|/34<#!,EXP,VARIETY,14.0,14.0
《偏愛》 ～ Shattered Memories,MAS,ORIGINAL,14.4,14.4,,,,,,,,,,,,,,,,,,,,88D,MAS,VARIETY,13.9,14.0
混沌を越えし我らが神聖なる調律主を讃えよ,EXP,ORIGINAL,14.4,14.4,,,,,,,,,,,,,,,,,,,,寡黙なるフォール,MAS,東方Project,,14.0
X7124,EXP,ORIGINAL,14.4,14.4,,,,,,,,,,,,,,,,,,,,,,,,
"ナイト・オブ・ナイツ(かめりあ's ""ワンス・アポン・ア・ナイト""Remix)",MAS,東方Project,14.2,14.4,,,,,,,,,,,,,,,,,,,,,,,,
ちくわパフェだよ☆CKP,ULT,VARIETY,14.3,14.4,,,,,,,,,,,,,,,,,,,,,,,,
モ°ルモ°ル,MAS,ゲキマイ,,14.4,,,,,,,,,,,,,,,,,,,,,,,,
ENDYMION,EXP,VARIETY,,14.4,,,,,,,,,,,,,,,,,,,,,,,,
